"Perioden;""Regio's"";""Gemiddelde woningwaarde (1 000 euro)"""
"2011;""Oost-Groningen (CR)"";164"
"2012;""Oost-Groningen (CR)"";161"
"2013;""Oost-Groningen (CR)"";154"
"2014;""Oost-Groningen (CR)"";145"
"2015;""Oost-Groningen (CR)"";140"
"2016;""Oost-Groningen (CR)"";140"
"2017;""Oost-Groningen (CR)"";142"
"2018**;""Oost-Groningen (CR)"";145"
"2019*;""Oost-Groningen (CR)"";153"
"2020*;""Oost-Groningen (CR)"";161"
"2011;""Delfzijl en omgeving (CR)"";154"
"2012;""Delfzijl en omgeving (CR)"";151"
"2013;""Delfzijl en omgeving (CR)"";146"
"2014;""Delfzijl en omgeving (CR)"";138"
"2015;""Delfzijl en omgeving (CR)"";130"
"2016;""Delfzijl en omgeving (CR)"";128"
"2017;""Delfzijl en omgeving (CR)"";129"
"2018**;""Delfzijl en omgeving (CR)"";134"
"2019*;""Delfzijl en omgeving (CR)"";137"
"2020*;""Delfzijl en omgeving (CR)"";145"
"2011;""Overig Groningen (CR)"";187"
"2012;""Overig Groningen (CR)"";182"
"2013;""Overig Groningen (CR)"";176"
"2014;""Overig Groningen (CR)"";167"
"2015;""Overig Groningen (CR)"";162"
"2016;""Overig Groningen (CR)"";163"
"2017;""Overig Groningen (CR)"";167"
"2018**;""Overig Groningen (CR)"";175"
"2019*;""Overig Groningen (CR)"";177"
"2020*;""Overig Groningen (CR)"";200"
"2011;""Noord-Friesland (CR)"";181"
"2012;""Noord-Friesland (CR)"";177"
"2013;""Noord-Friesland (CR)"";167"
"2014;""Noord-Friesland (CR)"";156"
"2015;""Noord-Friesland (CR)"";152"
"2016;""Noord-Friesland (CR)"";152"
"2017;""Noord-Friesland (CR)"";156"
"2018**;""Noord-Friesland (CR)"";160"
"2019*;""Noord-Friesland (CR)"";170"
"2020*;""Noord-Friesland (CR)"";181"
"2011;""Zuidwest-Friesland (CR)"";207"
"2012;""Zuidwest-Friesland (CR)"";202"
"2013;""Zuidwest-Friesland (CR)"";191"
"2014;""Zuidwest-Friesland (CR)"";185"
"2015;""Zuidwest-Friesland (CR)"";181"
"2016;""Zuidwest-Friesland (CR)"";182"
"2017;""Zuidwest-Friesland (CR)"";187"
"2018**;""Zuidwest-Friesland (CR)"";195"
"2019*;""Zuidwest-Friesland (CR)"";206"
"2020*;""Zuidwest-Friesland (CR)"";217"
"2011;""Zuidoost-Friesland (CR)"";212"
"2012;""Zuidoost-Friesland (CR)"";206"
"2013;""Zuidoost-Friesland (CR)"";196"
"2014;""Zuidoost-Friesland (CR)"";179"
"2015;""Zuidoost-Friesland (CR)"";172"
"2016;""Zuidoost-Friesland (CR)"";173"
"2017;""Zuidoost-Friesland (CR)"";179"
"2018**;""Zuidoost-Friesland (CR)"";190"
"2019*;""Zuidoost-Friesland (CR)"";198"
"2020*;""Zuidoost-Friesland (CR)"";214"
"2011;""Noord-Drenthe (CR)"";222"
"2012;""Noord-Drenthe (CR)"";218"
"2013;""Noord-Drenthe (CR)"";209"
"2014;""Noord-Drenthe (CR)"";198"
"2015;""Noord-Drenthe (CR)"";193"
"2016;""Noord-Drenthe (CR)"";193"
"2017;""Noord-Drenthe (CR)"";202"
"2018**;""Noord-Drenthe (CR)"";207"
"2019*;""Noord-Drenthe (CR)"";219"
"2020*;""Noord-Drenthe (CR)"";233"
"2011;""Zuidoost-Drenthe (CR)"";189"
"2012;""Zuidoost-Drenthe (CR)"";185"
"2013;""Zuidoost-Drenthe (CR)"";176"
"2014;""Zuidoost-Drenthe (CR)"";165"
"2015;""Zuidoost-Drenthe (CR)"";159"
"2016;""Zuidoost-Drenthe (CR)"";159"
"2017;""Zuidoost-Drenthe (CR)"";159"
"2018**;""Zuidoost-Drenthe (CR)"";163"
"2019*;""Zuidoost-Drenthe (CR)"";174"
"2020*;""Zuidoost-Drenthe (CR)"";185"
"2011;""Zuidwest-Drenthe (CR)"";225"
"2012;""Zuidwest-Drenthe (CR)"";220"
"2013;""Zuidwest-Drenthe (CR)"";211"
"2014;""Zuidwest-Drenthe (CR)"";198"
"2015;""Zuidwest-Drenthe (CR)"";191"
"2016;""Zuidwest-Drenthe (CR)"";191"
"2017;""Zuidwest-Drenthe (CR)"";196"
"2018**;""Zuidwest-Drenthe (CR)"";201"
"2019*;""Zuidwest-Drenthe (CR)"";210"
"2020*;""Zuidwest-Drenthe (CR)"";223"
"2011;""Noord-Overijssel (CR)"";228"
"2012;""Noord-Overijssel (CR)"";224"
"2013;""Noord-Overijssel (CR)"";219"
"2014;""Noord-Overijssel (CR)"";205"
"2015;""Noord-Overijssel (CR)"";203"
"2016;""Noord-Overijssel (CR)"";204"
"2017;""Noord-Overijssel (CR)"";209"
"2018**;""Noord-Overijssel (CR)"";218"
"2019*;""Noord-Overijssel (CR)"";230"
"2020*;""Noord-Overijssel (CR)"";244"
"2011;""Zuidwest-Overijssel (CR)"";224"
"2012;""Zuidwest-Overijssel (CR)"";221"
"2013;""Zuidwest-Overijssel (CR)"";215"
"2014;""Zuidwest-Overijssel (CR)"";205"
"2015;""Zuidwest-Overijssel (CR)"";198"
"2016;""Zuidwest-Overijssel (CR)"";196"
"2017;""Zuidwest-Overijssel (CR)"";200"
"2018**;""Zuidwest-Overijssel (CR)"";207"
"2019*;""Zuidwest-Overijssel (CR)"";219"
"2020*;""Zuidwest-Overijssel (CR)"";236"
"2011;""Twente (CR)"";211"
"2012;""Twente (CR)"";205"
"2013;""Twente (CR)"";198"
"2014;""Twente (CR)"";187"
"2015;""Twente (CR)"";183"
"2016;""Twente (CR)"";185"
"2017;""Twente (CR)"";188"
"2018**;""Twente (CR)"";196"
"2019*;""Twente (CR)"";208"
"2020*;""Twente (CR)"";223"
"2011;""Veluwe (CR)"";275"
"2012;""Veluwe (CR)"";267"
"2013;""Veluwe (CR)"";256"
"2014;""Veluwe (CR)"";240"
"2015;""Veluwe (CR)"";234"
"2016;""Veluwe (CR)"";234"
"2017;""Veluwe (CR)"";239"
"2018**;""Veluwe (CR)"";251"
"2019*;""Veluwe (CR)"";267"
"2020*;""Veluwe (CR)"";286"
"2011;""Achterhoek (CR)"";244"
"2012;""Achterhoek (CR)"";234"
"2013;""Achterhoek (CR)"";223"
"2014;""Achterhoek (CR)"";209"
"2015;""Achterhoek (CR)"";202"
"2016;""Achterhoek (CR)"";201"
"2017;""Achterhoek (CR)"";204"
"2018**;""Achterhoek (CR)"";211"
"2019*;""Achterhoek (CR)"";224"
"2020*;""Achterhoek (CR)"";237"
"2011;""Arnhem/Nijmegen (CR)"";231"
"2012;""Arnhem/Nijmegen (CR)"";225"
"2013;""Arnhem/Nijmegen (CR)"";216"
"2014;""Arnhem/Nijmegen (CR)"";204"
"2015;""Arnhem/Nijmegen (CR)"";198"
"2016;""Arnhem/Nijmegen (CR)"";197"
"2017;""Arnhem/Nijmegen (CR)"";201"
"2018**;""Arnhem/Nijmegen (CR)"";212"
"2019*;""Arnhem/Nijmegen (CR)"";230"
"2020*;""Arnhem/Nijmegen (CR)"";246"
"2011;""Zuidwest-Gelderland (CR)"";276"
"2012;""Zuidwest-Gelderland (CR)"";268"
"2013;""Zuidwest-Gelderland (CR)"";257"
"2014;""Zuidwest-Gelderland (CR)"";239"
"2015;""Zuidwest-Gelderland (CR)"";232"
"2016;""Zuidwest-Gelderland (CR)"";232"
"2017;""Zuidwest-Gelderland (CR)"";235"
"2018**;""Zuidwest-Gelderland (CR)"";241"
"2019*;""Zuidwest-Gelderland (CR)"";253"
"2020*;""Zuidwest-Gelderland (CR)"";281"
"2011;""Utrecht (CR)"";279"
"2012;""Utrecht (CR)"";274"
"2013;""Utrecht (CR)"";264"
"2014;""Utrecht (CR)"";248"
"2015;""Utrecht (CR)"";240"
"2016;""Utrecht (CR)"";241"
"2017;""Utrecht (CR)"";255"
"2018**;""Utrecht (CR)"";274"
"2019*;""Utrecht (CR)"";297"
"2020*;""Utrecht (CR)"";323"
"2011;""Kop van Noord-Holland (CR)"";220"
"2012;""Kop van Noord-Holland (CR)"";216"
"2013;""Kop van Noord-Holland (CR)"";209"
"2014;""Kop van Noord-Holland (CR)"";198"
"2015;""Kop van Noord-Holland (CR)"";192"
"2016;""Kop van Noord-Holland (CR)"";194"
"2017;""Kop van Noord-Holland (CR)"";197"
"2018**;""Kop van Noord-Holland (CR)"";205"
"2019*;""Kop van Noord-Holland (CR)"";218"
"2020*;""Kop van Noord-Holland (CR)"";236"
"2011;""Alkmaar en omgeving (CR)"";257"
"2012;""Alkmaar en omgeving (CR)"";253"
"2013;""Alkmaar en omgeving (CR)"";241"
"2014;""Alkmaar en omgeving (CR)"";227"
"2015;""Alkmaar en omgeving (CR)"";222"
"2016;""Alkmaar en omgeving (CR)"";223"
"2017;""Alkmaar en omgeving (CR)"";228"
"2018**;""Alkmaar en omgeving (CR)"";242"
"2019*;""Alkmaar en omgeving (CR)"";263"
"2020*;""Alkmaar en omgeving (CR)"";288"
"2011;""IJmond (CR)"";245"
"2012;""IJmond (CR)"";239"
"2013;""IJmond (CR)"";231"
"2014;""IJmond (CR)"";218"
"2015;""IJmond (CR)"";212"
"2016;""IJmond (CR)"";215"
"2017;""IJmond (CR)"";224"
"2018**;""IJmond (CR)"";238"
"2019*;""IJmond (CR)"";264"
"2020*;""IJmond (CR)"";288"
"2011;""Agglomeratie Haarlem (CR)"";315"
"2012;""Agglomeratie Haarlem (CR)"";308"
"2013;""Agglomeratie Haarlem (CR)"";295"
"2014;""Agglomeratie Haarlem (CR)"";277"
"2015;""Agglomeratie Haarlem (CR)"";269"
"2016;""Agglomeratie Haarlem (CR)"";277"
"2017;""Agglomeratie Haarlem (CR)"";300"
"2018**;""Agglomeratie Haarlem (CR)"";338"
"2019*;""Agglomeratie Haarlem (CR)"";378"
"2020*;""Agglomeratie Haarlem (CR)"";415"
"2011;""Zaanstreek (CR)"";204"
"2012;""Zaanstreek (CR)"";193"
"2013;""Zaanstreek (CR)"";192"
"2014;""Zaanstreek (CR)"";180"
"2015;""Zaanstreek (CR)"";174"
"2016;""Zaanstreek (CR)"";179"
"2017;""Zaanstreek (CR)"";187"
"2018**;""Zaanstreek (CR)"";205"
"2019*;""Zaanstreek (CR)"";231"
"2020*;""Zaanstreek (CR)"";259"
"2011;""Groot-Amsterdam (CR)"";258"
"2012;""Groot-Amsterdam (CR)"";257"
"2013;""Groot-Amsterdam (CR)"";247"
"2014;""Groot-Amsterdam (CR)"";235"
"2015;""Groot-Amsterdam (CR)"";235"
"2016;""Groot-Amsterdam (CR)"";249"
"2017;""Groot-Amsterdam (CR)"";279"
"2018**;""Groot-Amsterdam (CR)"";319"
"2019*;""Groot-Amsterdam (CR)"";353"
"2020*;""Groot-Amsterdam (CR)"";392"
"2011;""Het Gooi en Vechtstreek (CR)"";346"
"2012;""Het Gooi en Vechtstreek (CR)"";337"
"2013;""Het Gooi en Vechtstreek (CR)"";321"
"2014;""Het Gooi en Vechtstreek (CR)"";303"
"2015;""Het Gooi en Vechtstreek (CR)"";296"
"2016;""Het Gooi en Vechtstreek (CR)"";299"
"2017;""Het Gooi en Vechtstreek (CR)"";310"
"2018**;""Het Gooi en Vechtstreek (CR)"";327"
"2019*;""Het Gooi en Vechtstreek (CR)"";365"
"2020*;""Het Gooi en Vechtstreek (CR)"";396"
"2011;""Agglomeratie Leiden en Bollenstreek (CR)"";280"
"2012;""Agglomeratie Leiden en Bollenstreek (CR)"";273"
"2013;""Agglomeratie Leiden en Bollenstreek (CR)"";266"
"2014;""Agglomeratie Leiden en Bollenstreek (CR)"";253"
"2015;""Agglomeratie Leiden en Bollenstreek (CR)"";246"
"2016;""Agglomeratie Leiden en Bollenstreek (CR)"";248"
"2017;""Agglomeratie Leiden en Bollenstreek (CR)"";257"
"2018**;""Agglomeratie Leiden en Bollenstreek (CR)"";270"
"2019*;""Agglomeratie Leiden en Bollenstreek (CR)"";295"
"2020*;""Agglomeratie Leiden en Bollenstreek (CR)"";324"
"2011;""Agglomeratie 's-Gravenhage (CR)"";228"
"2012;""Agglomeratie 's-Gravenhage (CR)"";225"
"2013;""Agglomeratie 's-Gravenhage (CR)"";216"
"2014;""Agglomeratie 's-Gravenhage (CR)"";205"
"2015;""Agglomeratie 's-Gravenhage (CR)"";200"
"2016;""Agglomeratie 's-Gravenhage (CR)"";204"
"2017;""Agglomeratie 's-Gravenhage (CR)"";212"
"2018**;""Agglomeratie 's-Gravenhage (CR)"";226"
"2019*;""Agglomeratie 's-Gravenhage (CR)"";254"
"2020*;""Agglomeratie 's-Gravenhage (CR)"";281"
"2011;""Delft en Westland (CR)"";240"
"2012;""Delft en Westland (CR)"";238"
"2013;""Delft en Westland (CR)"";229"
"2014;""Delft en Westland (CR)"";217"
"2015;""Delft en Westland (CR)"";211"
"2016;""Delft en Westland (CR)"";213"
"2017;""Delft en Westland (CR)"";224"
"2018**;""Delft en Westland (CR)"";229"
"2019*;""Delft en Westland (CR)"";249"
"2020*;""Delft en Westland (CR)"";277"
"2011;""Oost-Zuid-Holland (CR)"";252"
"2012;""Oost-Zuid-Holland (CR)"";245"
"2013;""Oost-Zuid-Holland (CR)"";237"
"2014;""Oost-Zuid-Holland (CR)"";223"
"2015;""Oost-Zuid-Holland (CR)"";217"
"2016;""Oost-Zuid-Holland (CR)"";216"
"2017;""Oost-Zuid-Holland (CR)"";221"
"2018**;""Oost-Zuid-Holland (CR)"";231"
"2019*;""Oost-Zuid-Holland (CR)"";247"
"2020*;""Oost-Zuid-Holland (CR)"";267"
"2011;""Groot-Rijnmond (CR)"";195"
"2012;""Groot-Rijnmond (CR)"";192"
"2013;""Groot-Rijnmond (CR)"";185"
"2014;""Groot-Rijnmond (CR)"";177"
"2015;""Groot-Rijnmond (CR)"";172"
"2016;""Groot-Rijnmond (CR)"";173"
"2017;""Groot-Rijnmond (CR)"";179"
"2018**;""Groot-Rijnmond (CR)"";189"
"2019*;""Groot-Rijnmond (CR)"";210"
"2020*;""Groot-Rijnmond (CR)"";236"
"2011;""Zuidoost-Zuid-Holland (CR)"";215"
"2012;""Zuidoost-Zuid-Holland (CR)"";210"
"2013;""Zuidoost-Zuid-Holland (CR)"";202"
"2014;""Zuidoost-Zuid-Holland (CR)"";190"
"2015;""Zuidoost-Zuid-Holland (CR)"";184"
"2016;""Zuidoost-Zuid-Holland (CR)"";188"
"2017;""Zuidoost-Zuid-Holland (CR)"";192"
"2018**;""Zuidoost-Zuid-Holland (CR)"";201"
"2019*;""Zuidoost-Zuid-Holland (CR)"";213"
"2020*;""Zuidoost-Zuid-Holland (CR)"";231"
"2011;""Zeeuwsch-Vlaanderen (CR)"";173"
"2012;""Zeeuwsch-Vlaanderen (CR)"";172"
"2013;""Zeeuwsch-Vlaanderen (CR)"";171"
"2014;""Zeeuwsch-Vlaanderen (CR)"";170"
"2015;""Zeeuwsch-Vlaanderen (CR)"";170"
"2016;""Zeeuwsch-Vlaanderen (CR)"";171"
"2017;""Zeeuwsch-Vlaanderen (CR)"";175"
"2018**;""Zeeuwsch-Vlaanderen (CR)"";180"
"2019*;""Zeeuwsch-Vlaanderen (CR)"";188"
"2020*;""Zeeuwsch-Vlaanderen (CR)"";199"
"2011;""Overig Zeeland (CR)"";208"
"2012;""Overig Zeeland (CR)"";209"
"2013;""Overig Zeeland (CR)"";203"
"2014;""Overig Zeeland (CR)"";195"
"2015;""Overig Zeeland (CR)"";192"
"2016;""Overig Zeeland (CR)"";192"
"2017;""Overig Zeeland (CR)"";196"
"2018**;""Overig Zeeland (CR)"";200"
"2019*;""Overig Zeeland (CR)"";209"
"2020*;""Overig Zeeland (CR)"";219"
"2011;""West-Noord-Brabant (CR)"";242"
"2012;""West-Noord-Brabant (CR)"";238"
"2013;""West-Noord-Brabant (CR)"";230"
"2014;""West-Noord-Brabant (CR)"";219"
"2015;""West-Noord-Brabant (CR)"";216"
"2016;""West-Noord-Brabant (CR)"";215"
"2017;""West-Noord-Brabant (CR)"";223"
"2018**;""West-Noord-Brabant (CR)"";232"
"2019*;""West-Noord-Brabant (CR)"";245"
"2020*;""West-Noord-Brabant (CR)"";262"
"2011;""Midden-Noord-Brabant (CR)"";249"
"2012;""Midden-Noord-Brabant (CR)"";242"
"2013;""Midden-Noord-Brabant (CR)"";232"
"2014;""Midden-Noord-Brabant (CR)"";219"
"2015;""Midden-Noord-Brabant (CR)"";212"
"2016;""Midden-Noord-Brabant (CR)"";212"
"2017;""Midden-Noord-Brabant (CR)"";216"
"2018**;""Midden-Noord-Brabant (CR)"";225"
"2019*;""Midden-Noord-Brabant (CR)"";238"
"2020*;""Midden-Noord-Brabant (CR)"";255"
"2011;""Noordoost-Noord-Brabant (CR)"";283"
"2012;""Noordoost-Noord-Brabant (CR)"";274"
"2013;""Noordoost-Noord-Brabant (CR)"";261"
"2014;""Noordoost-Noord-Brabant (CR)"";247"
"2015;""Noordoost-Noord-Brabant (CR)"";238"
"2016;""Noordoost-Noord-Brabant (CR)"";238"
"2017;""Noordoost-Noord-Brabant (CR)"";245"
"2018**;""Noordoost-Noord-Brabant (CR)"";254"
"2019*;""Noordoost-Noord-Brabant (CR)"";272"
"2020*;""Noordoost-Noord-Brabant (CR)"";290"
"2011;""Zuidoost-Noord-Brabant (CR)"";275"
"2012;""Zuidoost-Noord-Brabant (CR)"";267"
"2013;""Zuidoost-Noord-Brabant (CR)"";256"
"2014;""Zuidoost-Noord-Brabant (CR)"";241"
"2015;""Zuidoost-Noord-Brabant (CR)"";234"
"2016;""Zuidoost-Noord-Brabant (CR)"";233"
"2017;""Zuidoost-Noord-Brabant (CR)"";239"
"2018**;""Zuidoost-Noord-Brabant (CR)"";249"
"2019*;""Zuidoost-Noord-Brabant (CR)"";267"
"2020*;""Zuidoost-Noord-Brabant (CR)"";286"
"2011;""Noord-Limburg (CR)"";226"
"2012;""Noord-Limburg (CR)"";220"
"2013;""Noord-Limburg (CR)"";213"
"2014;""Noord-Limburg (CR)"";205"
"2015;""Noord-Limburg (CR)"";198"
"2016;""Noord-Limburg (CR)"";201"
"2017;""Noord-Limburg (CR)"";208"
"2018**;""Noord-Limburg (CR)"";212"
"2019*;""Noord-Limburg (CR)"";221"
"2020*;""Noord-Limburg (CR)"";237"
"2011;""Midden-Limburg (CR)"";219"
"2012;""Midden-Limburg (CR)"";215"
"2013;""Midden-Limburg (CR)"";207"
"2014;""Midden-Limburg (CR)"";199"
"2015;""Midden-Limburg (CR)"";193"
"2016;""Midden-Limburg (CR)"";196"
"2017;""Midden-Limburg (CR)"";199"
"2018**;""Midden-Limburg (CR)"";208"
"2019*;""Midden-Limburg (CR)"";220"
"2020*;""Midden-Limburg (CR)"";235"
"2011;""Zuid-Limburg (CR)"";183"
"2012;""Zuid-Limburg (CR)"";179"
"2013;""Zuid-Limburg (CR)"";172"
"2014;""Zuid-Limburg (CR)"";163"
"2015;""Zuid-Limburg (CR)"";158"
"2016;""Zuid-Limburg (CR)"";162"
"2017;""Zuid-Limburg (CR)"";165"
"2018**;""Zuid-Limburg (CR)"";173"
"2019*;""Zuid-Limburg (CR)"";183"
"2020*;""Zuid-Limburg (CR)"";198"
"2011;""Flevoland (CR)"";201"
"2012;""Flevoland (CR)"";197"
"2013;""Flevoland (CR)"";191"
"2014;""Flevoland (CR)"";183"
"2015;""Flevoland (CR)"";179"
"2016;""Flevoland (CR)"";180"
"2017;""Flevoland (CR)"";185"
"2018**;""Flevoland (CR)"";194"
"2019*;""Flevoland (CR)"";212"
"2020*;""Flevoland (CR)"";236"